Fecha;Fase;Equipo;Turno_A;Turno_B;Total;Plan;Cumplimiento_TA;Cumplimiento_TB;Cumplimiento_Diario;Estado_TA;Estado_TB;Tipo
02-02;F11;TOTAL_FASE;660;377;1037;860;153.5;87.7;120.6;;;Total_Fase
02-02;TODAS;TOTAL_DIA;1828.5;1449;3277.5;2758;132.6;105.1;118.8;;;Total_Dia
03-02;F12;PF22;254.5;0;254.5;644;79;0;39.5;;;Equipo
03-02;F12;ROC;0;0;0;0;0;0;0;;;Equipo
03-02;F12;TOTAL_FASE;254.5;0;254.5;644;79;0;39.5;;;Total_Fase
03-02;F10;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
03-02;F09;PF03;0;0;0;355;0;0;0;;;Equipo
03-02;F09;PF21;141;175;316;282;100;124.1;112.1;;;Equipo
03-02;F09;PF23;0;0;0;151;0;0;0;;;Equipo
03-02;F09;PF24;195;150;345;317;123;94.6;108.8;;;Equipo
03-02;F09;PF25;179;230;409;316;113.3;145.6;129.4;;;Equipo
03-02;F09;PF26;115;127;242;308;74.7;82.5;78.6;;;Equipo
03-02;F09;TOTAL_FASE;630;682;1312;1729;72.9;78.9;75.9;;;Total_Fase
03-02;F11;PFARR;170;136;306;403;84.4;67.5;75.9;;;Equipo
03-02;F11;PF07;160;275;435;412;77.7;133.5;105.6;;;Equipo
03-02;F11;TOTAL_FASE;330;411;741;815;81;100.9;90.9;;;Total_Fase
03-02;TODAS;TOTAL_DIA;1214.5;1093;2307.5;3188;76.2;68.6;72.4;;;Total_Dia
04-02;F12;PF22;229;0;229;644;71.1;0;35.6;;;Equipo
04-02;F12;ROC;0;0;0;0;0;0;0;;;Equipo
04-02;F12;TOTAL_FASE;229;0;229;644;71.1;0;35.6;;;Total_Fase
04-02;F10;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
04-02;F09;PF21;206;0;206;254;162.2;0;81.1;;;Equipo
04-02;F09;PF23;0;0;0;324;0;0;0;;;Equipo
04-02;F09;PF24;160;0;160;317;100.9;0;50.5;;;Equipo
04-02;F09;PF25;162;0;162;316;102.5;0;51.3;;;Equipo
04-02;F09;PF26;68;0;68;308;44.2;0;22.1;;;Equipo
04-02;F09;TOTAL_FASE;596;0;596;1519;78.5;0;39.2;;;Total_Fase
04-02;F11;PFARR;41;0;41;448;18.3;0;9.2;;;Equipo
04-02;F11;PF07;124;0;124;309;80.3;0;40.1;;;Equipo
04-02;F11;PF03;0;0;0;355;0;0;0;;;Equipo
04-02;F11;TOTAL_FASE;165;0;165;1112;29.7;0;14.8;;;Total_Fase
04-02;TODAS;TOTAL_DIA;990;0;990;3275;60.5;0;30.2;;;Total_Dia
05-02;F12;PF22;0;0;0;0;0;0;0;;;Equipo
05-02;F12;ROC;0;0;0;0;0;0;0;;;Equipo
05-02;F12;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
05-02;F10;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
05-02;F09;PF21;0;0;0;155;0;0;0;;;Equipo
05-02;F09;PF23;0;0;0;178;0;0;0;;;Equipo
05-02;F09;PF24;0;0;0;174;0;0;0;;;Equipo
05-02;F09;PF25;0;0;0;174;0;0;0;;;Equipo
05-02;F09;PF26;0;0;0;160;0;0;0;;;Equipo
05-02;F09;TOTAL_FASE;0;0;0;841;0;0;0;;;Total_Fase
05-02;F11;PFARR;0;0;0;323;0;0;0;;;Equipo
05-02;F11;PF07;0;0;0;289;0;0;0;;;Equipo
05-02;F11;PF03;0;0;0;0;0;0;0;;;Equipo
05-02;F11;TOTAL_FASE;0;0;0;612;0;0;0;;;Total_Fase
05-02;TODAS;TOTAL_DIA;0;0;0;1453;0;0;0;;;Total_Dia
