Fecha;Fase;Equipo;Turno_A;Turno_B;Total;Plan;Cumplimiento_TA;Cumplimiento_TB;Cumplimiento_Diario;Estado_TA;Estado_TB;Tipo
02-11;F09;PF03;0;0;0;0;0;0;0;Mantención;;Equipo
02-11;F09;TOTAL_FASE;501;0;501;602;166.4;0;83.2;;;Total_Fase
02-11;F11;TOTAL_FASE;1490;1018;2508;2325;128.2;87.6;107.9;;;Total_Fase
02-11;TODAS;TOTAL_DIA;0;0;0;0;0;0;0;;;Total_Dia
03-11;F12;ROC;0;0;0;0;0;0;0;Operativa;;Equipo
03-11;F12;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
03-11;F10;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
03-11;F09;PF21;275;150;425;334;164.7;89.8;127.2;FS sensor Rod siport/;;Equipo
03-11;F09;PF23;223;205;428;167;267.1;245.5;256.3;FS Fuga de aire cabezal /;;Equipo
03-11;F09;PF24;0;0;0;341;0;0;0;FS Tefolnes /;;Equipo
03-11;F09;PF25;328;231;559;321;204.4;143.9;174.1;Operativa;;Equipo
03-11;F09;PF26;197;26;223;328;120.1;15.9;68;Operativa/ FS Perno Tazon / Operativa;;Equipo
03-11;F09;PF03;0;0;0;0;0;0;0;Mantención;;Equipo
03-11;F09;TOTAL_FASE;0;132;132;632;0;41.8;20.9;;;Total_Fase
03-11;F11;TOTAL_FASE;1243;914;2157;2454;101.3;74.5;87.9;;;Total_Fase
03-11;TODAS;TOTAL_DIA;0;0;0;0;0;0;0;;;Total_Dia
04-11;F12;ROC;0;0;0;0;0;0;0;Operativa Espera traslado;;Equipo
04-11;F12;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
04-11;F10;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
04-11;F09;PF21;261;96;357;334;156.3;57.5;106.9;Operativa;;Equipo
04-11;F09;PF23;165;12;177;167;197.6;14.4;106;Traslado / Operativa;;Equipo
04-11;F09;PF24;107;54;161;341;62.8;31.7;47.2;Traslado / Operativa;;Equipo
04-11;F09;PF25;171;136;307;321;106.5;84.7;95.6;Traslado / Operativa;;Equipo
04-11;F09;PF26;69;112;181;328;42.1;68.3;55.2;FS Fuga aceites / Operativa;;Equipo
04-11;F09;PF03;0;0;0;192;0;0;0;Resrva;;Equipo
04-11;F09;TOTAL_FASE;431;162;593;562;153.4;57.7;105.5;;;Total_Fase
04-11;F11;TOTAL_FASE;1340;732;2072;2369;113.1;61.8;87.5;;;Total_Fase
04-11;TODAS;TOTAL_DIA;0;0;0;0;0;0;0;;;Total_Dia
05-11;F12;ROC;0;0;0;0;0;0;0;Operativa Espera traslado;;Equipo
05-11;F12;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
05-11;F10;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
05-11;F09;PF07;97;85;182;158;122.8;107.6;115.2;Operativa;;Equipo
05-11;F09;PF21;130;300;430;334;77.8;179.6;128.7;Traslado / Operativa;;Equipo
05-11;F09;PF23;133;50;183;0;0;0;0;Traslado / Operativa;;Equipo
05-11;F09;PF24;150;150;300;326;92;92;92;Traslado / Operativa;;Equipo
05-11;F09;PF25;159;120;279;321;99.1;74.8;86.9;FS Fuga aceites / Operativa;;Equipo
05-11;F09;PF26;152.9;158;310.9;164;186.5;192.7;189.6;Resrva;;Equipo
05-11;F09;TOTAL_FASE;175;260;435;632;55.4;82.3;68.8;;;Total_Fase
05-11;F11;TOTAL_FASE;1359.3;1273;2632.3;2320;117.2;109.7;113.5;;;Total_Fase
05-11;TODAS;TOTAL_DIA;0;0;0;0;0;0;0;;;Total_Dia
06-11;F12;ROC;0;0;0;0;0;0;0;Operativa Espera traslado;;Equipo
06-11;F12;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
06-11;F10;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
06-11;F09;PF21;220;162;382;256;171.9;126.6;149.2;Operativa;;Equipo
06-11;F09;PF23;0;0;0;0;0;0;0;Traslado / Operativa;;Equipo
06-11;F09;PF24;160;204;364;163;196.3;250.3;223.3;Traslado / Operativa;;Equipo
06-11;F09;PF25;101;240;341;161;125.5;298.1;211.8;Traslado / Operativa;;Equipo
06-11;F09;PF26;45.1;0;45.1;0;0;0;0;FS Fuga aceites / Operativa;;Equipo
06-11;F09;TOTAL_FASE;306.5;434;740.5;702;87.3;123.6;105.5;;;Total_Fase
06-11;F11;Roc;232;375;607;0;0;0;0;;;Equipo
06-11;F11;TOTAL_FASE;1481.6;1940;3421.6;1920;154.3;202.1;178.2;;;Total_Fase
06-11;TODAS;TOTAL_DIA;0;0;0;0;0;0;0;;;Total_Dia
07-11;F12;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
07-11;F10;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
07-11;F09;PF21;150;73;223;314;95.5;46.5;71;Operativa;;Equipo
07-11;F09;PF23;0;0;0;0;0;0;0;Traslado / Operativa;;Equipo
07-11;F09;PF24;153;200;353;337;90.8;118.7;104.7;Traslado / Operativa;;Equipo
07-11;F09;PF25;170;238;408;343;99.1;138.8;119;Traslado / Operativa;;Equipo
07-11;F09;PF26;157.5;170;327.5;322;97.8;105.6;101.7;FS Fuga aceites / Operativa;;Equipo
07-11;F09;TOTAL_FASE;188;0;188;0;0;0;0;;;Total_Fase
07-11;F11;ROC;144.1;289.6;433.70000000000005;0;0;0;0;;;Equipo
07-11;F11;TOTAL_FASE;1343.6;1170.6;2514.2;1925;139.6;121.6;130.6;;;Total_Fase
07-11;TODAS;TOTAL_DIA;0;0;0;0;0;0;0;;;Total_Dia
08-11;F12;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
08-11;F10;PF22;184;57;241;268;137.3;42.5;89.9;;;Equipo
08-11;F10;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
08-11;F09;PF07;215;83;298;0;0;0;0;Operativa;;Equipo
08-11;F09;PF21;210;194;404;252;166.7;154;160.3;Traslado / Operativa;;Equipo
08-11;F09;PF23;0;0;0;162;0;0;0;Traslado / Operativa;;Equipo
08-11;F09;PF24;220;160;380;169;260.4;189.3;224.9;Traslado / Operativa;;Equipo
08-11;F09;PF25;248;186;434;172;288.4;216.3;252.3;FS Fuga aceites / Operativa;;Equipo
08-11;F09;PF26;210;175;385;257;163.4;136.2;149.8;Resrva;;Equipo
08-11;F09;ROC;148.4;64;212.4;0;0;0;0;Resrva;;Equipo
08-11;F09;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
08-11;F11;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
08-11;TODAS;TOTAL_DIA;0;0;0;0;0;0;0;;;Total_Dia
09-11;F12;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
09-11;F10;PF22;185;30;215;335;110.4;17.9;64.2;;;Equipo
09-11;F10;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
09-11;F09;PF07;0;20;20;620;0;6.5;3.2;Operativa;;Equipo
09-11;F09;PF21;200;45;245;63;634.9;142.9;388.9;Traslado / Operativa;;Equipo
09-11;F09;PF23;93;185;278;325;57.2;113.8;85.5;Traslado / Operativa;;Equipo
09-11;F09;PF24;200;142;342;337;118.7;84.3;101.5;Traslado / Operativa;;Equipo
09-11;F09;PF25;157;173;330;343;91.5;100.9;96.2;FS Fuga aceites / Operativa;;Equipo
09-11;F09;PF26;175;174;349;322;108.7;108.1;108.4;Resrva;;Equipo
09-11;F09;ROC;218;131;349;0;0;0;0;Resrva;;Equipo
09-11;F09;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
09-11;F11;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
09-11;TODAS;TOTAL_DIA;0;0;0;0;0;0;0;;;Total_Dia
10-11;F12;PF03;290;158;448;255;227.5;123.9;175.7;Operativa Espera traslado;;Equipo
10-11;F12;ROC;217;219;436;0;0;0;0;;;Equipo
10-11;F12;TOTAL_FASE;507;377;884;255;397.6;295.7;346.7;;;Total_Fase
10-11;F10;PF07;90;110;200;620;29;35.5;32.3;;;Equipo
10-11;F10;PF22;0;56;56;335;0;33.4;16.7;;;Equipo
10-11;F10;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
10-11;F09;PF23;189;217;406;325;116.3;133.5;124.9;Operativa;;Equipo
10-11;F09;PF24;130;230;360;304;85.5;151.3;118.4;Traslado / Operativa;;Equipo
10-11;F09;PF25;241;156;397;309;156;101;128.5;Traslado / Operativa;;Equipo
10-11;F09;PF26;179;200;379;322;111.2;124.2;117.7;Traslado / Operativa;;Equipo
10-11;F09;ROC;51;0;51;0;0;0;0;FS Fuga aceites / Operativa;;Equipo
10-11;F09;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
10-11;F11;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
10-11;TODAS;TOTAL_DIA;0;0;0;0;0;0;0;;;Total_Dia
11-11;F12;PF03;172;123;295;243;141.6;101.2;121.4;Operativa Espera traslado;;Equipo
11-11;F12;ROC;250.8;251;501.8;0;0;0;0;;;Equipo
11-11;F12;TOTAL_FASE;422.8;374;796.8;243;348;307.8;327.9;;;Total_Fase
11-11;F10;PF07;31;0;31;620;10;0;5;;;Equipo
11-11;F10;PF22;124;170;294;335;74;101.5;87.8;;;Equipo
11-11;F10;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
11-11;F09;PF24;190;34;224;169;224.9;40.2;132.5;Operativa;;Equipo
11-11;F09;PF25;249;33;282;172;289.5;38.4;164;Traslado / Operativa;;Equipo
11-11;F09;PF26;185;100;285;232;159.5;86.2;122.8;Traslado / Operativa;;Equipo
11-11;F09;ROC;0;0;0;0;0;0;0;Traslado / Operativa;;Equipo
11-11;F09;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
11-11;F11;ROC;0;0;0;0;0;0;0;Sin Equipos;;Equipo
11-11;F11;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
11-11;TODAS;TOTAL_DIA;0;0;0;0;0;0;0;;;Total_Dia
12-11;F12;PF03;136;210;346;556;48.9;75.5;62.2;Operativa Espera traslado;;Equipo
12-11;F12;ROC;385;268;653;0;0;0;0;;;Equipo
12-11;F12;TOTAL_FASE;521;478;999;556;187.4;171.9;179.7;;;Total_Fase
12-11;F10;PF07;0;107;107;620;0;34.5;17.3;;;Equipo
12-11;F10;PF22;142;79;221;335;84.8;47.2;66;;;Equipo
12-11;F10;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
12-11;F09;PF24;123;0;123;267;92.1;0;46.1;Operativa;;Equipo
12-11;F09;PF25;96;77;173;302;63.6;51;57.3;Traslado / Operativa;;Equipo
12-11;F09;PF26;160;0;160;322;99.4;0;49.7;Traslado / Operativa;;Equipo
12-11;F09;ROC;0;0;0;0;0;0;0;Traslado / Operativa;;Equipo
12-11;F09;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
12-11;F11;ROC;0;0;0;0;0;0;0;Sin Equipos;;Equipo
12-11;F11;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
12-11;TODAS;TOTAL_DIA;0;0;0;0;0;0;0;;;Total_Dia
13-11;F12;PF03;255;168;423;556;91.7;60.4;76.1;Operativa Espera traslado;;Equipo
13-11;F12;ROC;224;130;354;0;0;0;0;;;Equipo
13-11;F12;TOTAL_FASE;479;298;777;556;172.3;107.2;139.7;;;Total_Fase
13-11;F10;PF07;159;377;536;620;51.3;121.6;86.5;;;Equipo
13-11;F10;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
13-11;F09;PF24;150;197;347;169;177.5;233.1;205.3;Operativa;;Equipo
13-11;F09;PF25;194;220;414;172;225.6;255.8;240.7;Traslado / Operativa;;Equipo
13-11;F09;PF26;126;136;262;257;98.1;105.8;101.9;Traslado / Operativa;;Equipo
13-11;F09;ROC;0;0;0;0;0;0;0;Traslado / Operativa;;Equipo
13-11;F09;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
13-11;F11;ROC;0;0;0;0;0;0;0;Sin Equipos;;Equipo
13-11;F11;PF22;138;205;343;0;0;0;0;;;Equipo
13-11;F11;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
13-11;TODAS;TOTAL_DIA;0;0;0;0;0;0;0;;;Total_Dia
14-11;F12;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
14-11;F10;PF 22;149;0;149;0;0;0;0;;;Equipo
14-11;F10;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
14-11;F09;PF24;159;195;354;297;107.1;131.3;119.2;Operativa;;Equipo
14-11;F09;PF25;248;136;384;302;164.2;90.1;127.2;Traslado / Operativa;;Equipo
14-11;F09;PF03;50;85;135;157;63.7;108.3;86;Traslado / Operativa;;Equipo
14-11;F09;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
14-11;F11;PF07;395;368;763;286;276.2;257.3;266.8;Sin Equipos;;Equipo
14-11;F11;PF26;300;234;534;649;92.4;72.1;82.3;;;Equipo
14-11;F11;PF22;0;246;246;657;0;74.9;37.4;;;Equipo
14-11;F11;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
14-11;TODAS;TOTAL_DIA;0;0;0;0;0;0;0;;;Total_Dia
15-11;F12;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
15-11;F10;PF 21;0;50;50;0;0;0;0;;;Equipo
15-11;F10;PF 22;0;0;0;433;0;0;0;;;Equipo
15-11;F10;PF 07;0;120;120;0;0;0;0;;;Equipo
15-11;F10;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
15-11;F09;PF24;206;233;439;155;265.8;300.6;283.2;Operativa;;Equipo
15-11;F09;PF25;160;19;179;158;202.5;24.1;113.3;Traslado / Operativa;;Equipo
15-11;F09;PF03;128;132;260;157;163.1;168.2;165.6;Traslado / Operativa;;Equipo
15-11;F09;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
15-11;F11;PF07;306;0;306;286;214;0;107;Sin Equipos;;Equipo
15-11;F11;PF26;367;175;542;227;323.3;154.2;238.8;;;Equipo
15-11;F11;PF22;261;155;416;148;352.7;209.5;281.1;;;Equipo
15-11;F11;TOTAL_FASE;0;0;0;458;0;0;0;;;Total_Fase
15-11;TODAS;TOTAL_DIA;0;0;0;0;0;0;0;;;Total_Dia
16-11;F12;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
16-11;F10;PF26;77;56;133;146;105.5;76.7;91.1;;;Equipo
16-11;F10;PF22;17;50;67;148;23;67.6;45.3;;;Equipo
16-11;F10;PF21;256;185;441;138;0;0;0;;;Equipo
16-11;F10;PF07;162;119;281;143;226.6;166.4;196.5;;;Equipo
16-11;F10;TOTAL_FASE;512;410;922;575;178.1;142.6;160.3;;;Total_Fase
16-11;F09;PF23;22;53;75;149;29.5;71.1;50.3;FS Fuga Agua / Operativa;;Equipo
16-11;F09;PF24;143;49;192;155;184.5;63.2;123.9;Operativa;;Equipo
16-11;F09;PF25;130;66;196;158;164.6;83.5;124.1;Traslado / Operativa;;Equipo
16-11;F09;PF03;101;31;132;78;259;79.5;169.2;Traslado / Operativa;;Equipo
16-11;F09;TOTAL_FASE;396;199;595;540;146.7;73.7;110.2;;;Total_Fase
16-11;F11;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
16-11;TODAS;TOTAL_DIA;908;609;1517;1115;162.9;109.2;136.1;;;Total_Dia
17-11;F12;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
17-11;F10;PF26;130;159;289;291;89.3;109.3;99.3;;;Equipo
17-11;F10;PF22;82;49;131;295;55.6;33.2;44.4;;;Equipo
17-11;F10;PF21;215;75;290;69;0;0;0;;;Equipo
17-11;F10;PF07;147;163;310;286;102.8;114;108.4;;;Equipo
17-11;F10;TOTAL_FASE;574;446;1020;941;122;94.8;108.4;;;Total_Fase
17-11;F09;PF23;106;142;248;298;71.1;95.3;83.2;FS Fuga Agua / Operativa;;Equipo
17-11;F09;PF24;109;198;307;310;70.3;127.7;99;Operativa;;Equipo
17-11;F09;PF25;0;181;181;316;0;114.6;57.3;Traslado / Operativa;;Equipo
17-11;F09;PF03;60;104;164;157;76.4;132.5;104.5;Traslado / Operativa;;Equipo
17-11;F09;TOTAL_FASE;275;625;900;1081;50.9;115.6;83.3;;;Total_Fase
17-11;F11;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
17-11;TODAS;TOTAL_DIA;849;1071;1920;2022;84;105.9;95;;;Total_Dia
18-11;F12;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
18-11;F10;PF26;224;66;290;146;306.8;90.4;198.6;;;Equipo
18-11;F10;PF22;67;56;123;295;45.4;38;41.7;;;Equipo
18-11;F10;PF21;188;223;411;0;0;0;0;;;Equipo
18-11;F10;PF07;200;225;425;143;279.7;314.7;297.2;;;Equipo
18-11;F10;TOTAL_FASE;679;570;1249;584;232.5;195.2;213.9;;;Total_Fase
18-11;F09;PF23;105;157;262;298;70.5;105.4;87.9;FS Fuga Agua / Operativa;;Equipo
18-11;F09;PF24;73;212;285;310;47.1;136.8;91.9;Operativa;;Equipo
18-11;F09;PF25;123;195;318;316;77.8;123.4;100.6;Traslado / Operativa;;Equipo
18-11;F09;PF03;112;31;143;157;142.7;39.5;91.1;Traslado / Operativa;;Equipo
18-11;F09;TOTAL_FASE;413;595;1008;1081;76.4;110.1;93.2;;;Total_Fase
18-11;F11;PFARR;0;0;0;308;0;0;0;Operativa;;Equipo
18-11;F11;TOTAL_FASE;0;0;0;308;0;0;0;;;Total_Fase
18-11;TODAS;TOTAL_DIA;1092;1165;2257;1973;110.7;118.1;114.4;;;Total_Dia
19-11;F12;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
19-11;F10;PF26;224;66;290;152;294.7;86.8;190.8;;;Equipo
19-11;F10;PF22;67;56;123;0;0;0;0;;;Equipo
19-11;F10;PF21;188;223;411;0;0;0;0;;;Equipo
19-11;F10;PF07;200;225;425;143;279.7;314.7;297.2;;;Equipo
19-11;F10;TOTAL_FASE;679;570;1249;295;460.3;386.4;423.4;;;Total_Fase
19-11;F09;PF23;105;157;262;298;70.5;105.4;87.9;FS Fuga Agua / Operativa;;Equipo
19-11;F09;PF24;73;212;285;310;47.1;136.8;91.9;Operativa;;Equipo
19-11;F09;PF25;123;195;318;316;77.8;123.4;100.6;Traslado / Operativa;;Equipo
19-11;F09;PF03;112;31;143;157;142.7;39.5;91.1;Traslado / Operativa;;Equipo
19-11;F09;TOTAL_FASE;413;595;1008;1081;76.4;110.1;93.2;;;Total_Fase
19-11;F11;PFARR;0;0;0;616;0;0;0;Operativa;;Equipo
19-11;F11;TOTAL_FASE;0;0;0;616;0;0;0;;;Total_Fase
19-11;TODAS;TOTAL_DIA;1092;1165;2257;1992;109.6;117;113.3;;;Total_Dia
20-11;F12;PF07;140;302;442;200;140;302;221;Operativa Espera traslado;;Equipo
20-11;F12;TOTAL_FASE;140;302;442;200;140;302;221;;;Total_Fase
20-11;F10;PF26;175;131;306;213;164.3;123;143.7;;;Equipo
20-11;F10;PF22;0;0;0;207;0;0;0;;;Equipo
20-11;F10;PF21;0;0;0;48;0;0;0;;;Equipo
20-11;F10;PF07;0;0;0;0;0;0;0;;;Equipo
20-11;F10;TOTAL_FASE;175;131;306;468;74.8;56;65.4;;;Total_Fase
20-11;F09;PF23;168;140;308;209;160.8;134;147.4;FS Fuga Agua / Operativa;;Equipo
20-11;F09;PF24;220;107;327;217;202.8;98.6;150.7;Operativa;;Equipo
20-11;F09;PF25;172;157;329;221;155.7;142.1;148.9;Traslado / Operativa;;Equipo
20-11;F09;PF03;0;0;0;110;0;0;0;Traslado / Operativa;;Equipo
20-11;F09;TOTAL_FASE;560;404;964;757;148;106.7;127.3;;;Total_Fase
20-11;F11;PFARR;0;0;0;554;0;0;0;Operativa;;Equipo
20-11;F11;TOTAL_FASE;0;0;0;554;0;0;0;;;Total_Fase
20-11;TODAS;TOTAL_DIA;875;837;1712;1979;88.4;84.6;86.5;;;Total_Dia
21-11;F12;PF07;406;454;860;621.2025548531417;130.7;146.2;138.4;Operativa Espera traslado;;Equipo
21-11;F12;TOTAL_FASE;406;454;860;621.2025548531417;130.7;146.2;138.4;;;Total_Fase
21-11;F10;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
21-11;F09;PF23;150;81;231;293.30997297581087;102.3;55.2;78.8;FS Fuga Agua / Operativa;;Equipo
21-11;F09;PF24;144;210;354;293.3823148899571;98.2;143.2;120.7;Operativa;;Equipo
21-11;F09;PF25;140;190;330;279.5656947495851;100.2;135.9;118;Traslado / Operativa;;Equipo
21-11;F09;PF22;102;185;287;294.79927363456966;69.2;125.5;97.4;Traslado / Operativa;;Equipo
21-11;F09;PF03;600;0;600;101.55603466353217;1181.6;0;590.8;Traslado / Operativa;;Equipo
21-11;F09;TOTAL_FASE;1136;666;1802;1262.613290913455;179.9;105.5;142.7;;;Total_Fase
21-11;F11;PFARR;0;0;0;0;0;0;0;Operativa;;Equipo
21-11;F11;PF26;16;245;261;599.7932132182467;5.3;81.7;43.5;;;Equipo
21-11;F11;TOTAL_FASE;16;245;261;599.7932132182467;5.3;81.7;43.5;;;Total_Fase
21-11;TODAS;TOTAL_DIA;1558;1365;2923;2483.6090589848436;125.5;109.9;117.7;;;Total_Dia
22-11;F12;PF07;529;325;854;434.84178839719925;243.3;149.5;196.4;Operativa Espera traslado;;Equipo
22-11;F12;TOTAL_FASE;529;325;854;434.84178839719925;243.3;149.5;196.4;;;Total_Fase
22-11;F10;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
22-11;F09;PF23;150;171;321;205.31698108306762;146.1;166.6;156.3;FS Fuga Agua / Operativa;;Equipo
22-11;F09;PF24;250;70;320;205.36762042297;243.5;68.2;155.8;Operativa;;Equipo
22-11;F09;PF25;304;114;418;195.6959863247095;310.7;116.5;213.6;Traslado / Operativa;;Equipo
22-11;F09;PF22;130;160;290;206.35949154419876;126;155.1;140.5;Traslado / Operativa;;Equipo
22-11;F09;PF03;22;112;134;71.0892242644725;61.9;315.1;188.5;Traslado / Operativa;;Equipo
22-11;F09;TOTAL_FASE;856;627;1483;883.8293036394184;193.7;141.9;167.8;;;Total_Fase
22-11;F11;PFARR;0;0;0;0;0;0;0;Operativa;;Equipo
22-11;F11;PF26;315;70;385;599.7932132182467;105;23.3;64.2;;;Equipo
22-11;F11;TOTAL_FASE;315;70;385;599.7932132182467;105;23.3;64.2;;;Total_Fase
22-11;TODAS;TOTAL_DIA;1700;1022;2722;1918.4643052548645;177.2;106.5;141.9;;;Total_Dia
23-11;F12;PF07;454;333;787;621.2025548531417;146.2;107.2;126.7;Operativa Espera traslado;;Equipo
23-11;F12;TOTAL_FASE;454;333;787;621.2025548531417;146.2;107.2;126.7;;;Total_Fase
23-11;F10;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
23-11;F09;PF23;55;70;125;293.30997297581087;37.5;47.7;42.6;FS Fuga Agua / Operativa;;Equipo
23-11;F09;PF24;243;200;443;293.3823148899571;165.7;136.3;151;Operativa;;Equipo
23-11;F09;PF25;267;255;522;279.5656947495851;191;182.4;186.7;Traslado / Operativa;;Equipo
23-11;F09;PF22;248;160;408;294.79927363456966;168.3;108.5;138.4;Traslado / Operativa;;Equipo
23-11;F09;PF03;100;170;270;101.55603466353217;196.9;334.8;265.9;Traslado / Operativa;;Equipo
23-11;F09;TOTAL_FASE;913;855;1768;1262.613290913455;144.6;135.4;140;;;Total_Fase
23-11;F11;PFARR;0;0;0;0;0;0;0;Operativa;;Equipo
23-11;F11;PF26;358;262;620;599.7932132182467;119.4;87.4;103.4;;;Equipo
23-11;F11;TOTAL_FASE;358;262;620;599.7932132182467;119.4;87.4;103.4;;;Total_Fase
23-11;TODAS;TOTAL_DIA;1725;1450;3175;2483.6090589848436;138.9;116.8;127.8;;;Total_Dia
24-11;F12;PF07;333;280;613;621.2025548531417;107.2;90.1;98.7;Operativa Espera traslado;;Equipo
24-11;F12;TOTAL_FASE;333;280;613;621.2025548531417;107.2;90.1;98.7;;;Total_Fase
24-11;F10;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
24-11;F09;PF23;145;132;277;293.30997297581087;98.9;90;94.4;FS Fuga Agua / Operativa;;Equipo
24-11;F09;PF24;95;50;145;293.3823148899571;64.8;34.1;49.4;Operativa;;Equipo
24-11;F09;PF25;239;199;438;279.5656947495851;171;142.4;156.7;Traslado / Operativa;;Equipo
24-11;F09;PF22;268;128;396;294.79927363456966;181.8;86.8;134.3;Traslado / Operativa;;Equipo
24-11;F09;PF03;180;120;300;101.55603466353217;354.5;236.3;295.4;Traslado / Operativa;;Equipo
24-11;F09;PF21;0;35;35;291.10934200085944;0;24;12;FS Fuga aceites / Operativa;;Equipo
24-11;F09;TOTAL_FASE;927;664;1591;1553.7226329143145;119.3;85.5;102.4;;;Total_Fase
24-11;F11;PFARR;0;0;0;0;0;0;0;Operativa;;Equipo
24-11;F11;PF26;52;100;152;0;0;0;0;;;Equipo
24-11;F11;TOTAL_FASE;52;100;152;0;0;0;0;;;Total_Fase
24-11;TODAS;TOTAL_DIA;1312;1044;2356;2174.925187767456;120.6;96;108.3;;;Total_Dia
25-11;F12;PF07;0;120;120;434.84178839719925;0;55.2;27.6;Operativa Espera traslado;;Equipo
25-11;F12;TOTAL_FASE;0;120;120;434.84178839719925;0;55.2;27.6;;;Total_Fase
25-11;F10;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
25-11;F09;PF23;170;80;250;123.19018864984058;276;129.9;202.9;FS Fuga Agua / Operativa;;Equipo
25-11;F09;PF24;0;0;0;123.220572253782;0;0;0;Operativa;;Equipo
25-11;F09;PF25;53;100;153;117.41759179482571;90.3;170.3;130.3;Traslado / Operativa;;Equipo
25-11;F09;PF22;220;120;340;215.73946843257144;203.9;111.2;157.6;Traslado / Operativa;;Equipo
25-11;F09;PF03;140;200;340;71.0892242644725;393.9;562.7;478.3;Traslado / Operativa;;Equipo
25-11;F09;PF21;216;130;346;291.10934200085944;148.4;89.3;118.9;FS Fuga aceites / Operativa;;Equipo
25-11;F09;TOTAL_FASE;799;630;1429;941.7663873963517;169.7;133.8;151.7;;;Total_Fase
25-11;F11;PFARR;0;0;0;589.1922168915986;0;0;0;Operativa;;Equipo
25-11;F11;PF26;0;0;0;0;0;0;0;;;Equipo
25-11;F11;TOTAL_FASE;0;0;0;589.1922168915986;0;0;0;;;Total_Fase
25-11;TODAS;TOTAL_DIA;799;750;1549;1965.8003926851495;81.3;76.3;78.8;;;Total_Dia
26-11;F12;PF07;275;262;537;621.2025548531417;88.5;84.4;86.4;Operativa Espera traslado;;Equipo
26-11;F12;TOTAL_FASE;275;262;537;621.2025548531417;88.5;84.4;86.4;;;Total_Fase
26-11;F10;TOTAL_FASE;0;0;0;0;0;0;0;;;Total_Fase
26-11;F09;PF23;106;100;206;246.89048160050862;85.9;81;83.4;FS Fuga Agua / Operativa;;Equipo
26-11;F09;PF24;34;203;237;258.1764371031623;26.3;157.3;91.8;Operativa;;Equipo
26-11;F09;PF25;100;211;311;246.0178113796348;81.3;171.5;126.4;Traslado / Operativa;;Equipo
26-11;F09;PF22;78;0;78;308.19924061795916;50.6;0;25.3;Traslado / Operativa;;Equipo
26-11;F09;PF03;48;8;56;101.55603466353217;94.5;15.8;55.1;Traslado / Operativa;;Equipo
26-11;F09;PF21;155;161;316;291.10934200085944;106.5;110.6;108.6;FS Fuga aceites / Operativa;;Equipo
