textbox25,textbox53,textbox24,textbox52,textbox54,textbox28,textbox48,textbox27,textbox49,textbox26,textbox50,textbox1,textbox2
DISPATCH MINERA LOS PELAMBRES,Inicio turno,01-ENE-2026 A,Fin turno,17-FEB-2026 A,Reporte creado el,"martes, 17 de febrero de 2026",Tiempo,9:32:37,Generado por,SANTIAGO\amsmfernandez,Generado en (segundos),93

FullShiftName,Equipo,Metros,Tp__Efectivo,Demora_Prog,Demora_Nprog,Reserva,Mant__Prog,Mant__Nprog,ID_UEBD,ID_Disp__Física,ID_Disp__Mecánica,Textbox40,Textbox41,Textbox42,Textbox43,Textbox44,Textbox45,Textbox46,Textbox47,Textbox48,Textbox49,Textbox28,Textbox29,Textbox30,Textbox31,Textbox32,Textbox33,Textbox34,Textbox35,Textbox36,Textbox37
01-FEB-2026 A,PF-07,"28.461,2","0,0","54,9","61,0","0,0","0,0","0,0","0,0","100,0","100,0","182.164,7","0,0","373,7","154,4","861,1","0,0","642,4","0,0","707,9","707,9","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
01-FEB-2026 A,PF-21,"17.255,0","0,0","38,2","49,8","0,0","0,0","0,0","0,0","100,0","100,0","182.164,7","0,0","373,7","154,4","861,1","0,0","642,4","0,0","707,9","707,9","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
01-FEB-2026 A,PF-22,"19.818,2","0,0","0,0","0,0","157,8","0,0","0,0","0,0","100,0","100,0","182.164,7","0,0","373,7","154,4","861,1","0,0","642,4","0,0","707,9","707,9","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
01-FEB-2026 A,PF-23,"10.894,2","0,0","0,0","9,5","691,3","0,0","554,9","0,0","55,8","55,8","182.164,7","0,0","373,7","154,4","861,1","0,0","642,4","0,0","707,9","707,9","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
01-FEB-2026 A,PF-24,"15.256,5","0,0","95,2","0,0","0,0","0,0","87,5","0,0","52,1","52,1","182.164,7","0,0","373,7","154,4","861,1","0,0","642,4","0,0","707,9","707,9","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
01-FEB-2026 A,PF-25,"34.764,9","0,0","89,9","22,1","0,0","0,0","0,0","0,0","100,0","100,0","182.164,7","0,0","373,7","154,4","861,1","0,0","642,4","0,0","707,9","707,9","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
01-FEB-2026 A,PF-26,"47.349,9","0,0","95,6","12,0","0,0","0,0","0,0","0,0","100,0","100,0","182.164,7","0,0","373,7","154,4","861,1","0,0","642,4","0,0","707,9","707,9","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
01-FEB-2026 B,PF03,"8.364,7","0,0","0,0","0,0","12,0","0,0","0,0","0,0","100,0","100,0","182.164,7","0,0","162,7","367,4","773,5","0,0","346,3","0,0","680,1","680,1","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
01-FEB-2026 B,PF-07,"28.461,2","0,0","100,1","41,3","27,0","0,0","0,0","0,0","100,0","100,0","182.164,7","0,0","162,7","367,4","773,5","0,0","346,3","0,0","680,1","680,1","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
01-FEB-2026 B,PF-21,"17.255,0","0,0","0,0","145,9","71,0","0,0","19,4","0,0","91,8","91,8","182.164,7","0,0","162,7","367,4","773,5","0,0","346,3","0,0","680,1","680,1","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
01-FEB-2026 B,PF-22,"19.818,2","0,0","62,6","26,0","147,2","0,0","0,0","0,0","100,0","100,0","182.164,7","0,0","162,7","367,4","773,5","0,0","346,3","0,0","680,1","680,1","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
01-FEB-2026 B,PF-23,"10.894,2","0,0","0,0","104,9","235,7","0,0","0,0","0,0","100,0","100,0","182.164,7","0,0","162,7","367,4","773,5","0,0","346,3","0,0","680,1","680,1","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
01-FEB-2026 B,PF-24,"15.256,5","0,0","0,0","19,7","106,6","0,0","0,0","0,0","100,0","100,0","182.164,7","0,0","162,7","367,4","773,5","0,0","346,3","0,0","680,1","680,1","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
01-FEB-2026 B,PF-25,"34.764,9","0,0","0,0","18,8","97,5","0,0","67,8","0,0","63,2","63,2","182.164,7","0,0","162,7","367,4","773,5","0,0","346,3","0,0","680,1","680,1","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
01-FEB-2026 B,PF-26,"47.349,9","0,0","0,0","10,8","76,5","0,0","259,1","0,0","25,2","25,2","182.164,7","0,0","162,7","367,4","773,5","0,0","346,3","0,0","680,1","680,1","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
02-ENE-2026 A,PF03,"8.364,7","0,0","0,0","0,0","12,0","0,0","0,0","0,0","100,0","100,0","182.164,7","0,0","1.994,2","142,9","992,3","0,0","18,1","0,0","795,1","795,1","15.411.284,1","430,6","36.743,7","73.007,0","11.978,6","39.998,1","84.686,6","4.191,7","54.614,4","54.772,5"
